File Name: D:\数据\20260209-TDI\20260209 TDI 2026-02-09 14-59-34\TDI C3B.D
Creation Date: 2026-05-25 13:24:42
Sample Name: TDI C3B
Sample Description: TDI C3B
Method: CG-FID-TDI-CAL-125.M last changed 2026-05-25 13:24:27

Signal: FID1A
     Time Type      Area    Height     Width     Start       End
----------------------------------------------------------------
    1.047 BV     515.789   123.398     0.053     0.945     1.110 
    1.315 VB S 1271806.500 169007.453     0.092     1.110     2.663 
    1.367 BV T    75.364   189.298     0.007     1.343     1.376 
    1.435 VV T    45.487    55.217     0.012     1.386     1.454 
    1.478 VV T   581.684   766.195     0.011     1.454     1.507 
    1.526 VB T    43.984    81.122     0.009     1.507     1.545 
    1.631 BV T    55.522    85.177     0.010     1.599     1.660 
    1.668 VV T     0.435     0.572     0.011     1.660     1.681 
    1.695 VV T     1.895     2.207     0.013     1.681     1.728 
    1.741 VV T     0.383     0.345     0.016     1.728     1.767 
    1.814 VV T     4.114     5.201     0.012     1.771     1.843 
    1.876 VV T   283.611   385.119     0.012     1.845     1.969 
    1.989 VV T     0.266     0.157     0.023     1.969     2.037 
    2.247 VV T    35.385    36.663     0.015     2.207     2.333 
    2.363 VB T    37.486    40.495     0.014     2.333     2.607 
    3.019 BB       0.294     0.091     0.040     2.945     3.049 
    3.810 BB       0.541     0.147     0.046     3.744     3.901 
    6.328 BV      16.260     6.117     0.041     6.269     6.380 
    6.422 VV       9.924     3.121     0.046     6.380     6.478 
    6.528 MF      18.242     5.088     0.060     6.478     6.605 
    7.126 MF      38.687    11.279     0.057     7.041     7.194 
   10.681 BV E     1.022     0.899     0.018    10.621    10.697 
   10.715 VB R    27.865    19.676     0.021    10.621    10.900 
   11.207 BB       0.773     0.514     0.022    11.150    11.247 
   11.627 BB       0.272     0.131     0.031    11.568    11.646 


   RetTime       Type CalibPeakType                       Signalname          Amount Compound
---------------------------------------------------------------------------------------------------------
     1.047    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.315    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.367    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.435    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.478    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.526    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.631    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.668    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.695    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.741    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.814    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.876    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.989    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     2.247    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     2.363    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     3.019    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     3.810    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     6.328   Expected          Main                            FID1A    33.174  mg/L 2,6-TDI
     6.422   Expected          Main                            FID1A    36.772  mg/L 2,4-TDI
     6.528   Expected          Main                            FID1A    26.652  mg/L HDI
     7.126   Expected          Main                            FID1A    10.000  mg/L 正十四烷
    10.681    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
    10.715    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
    11.207    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
    11.627    Unknown       NewMain                            FID1A    0.000e+000  mg/L 

-------------------------------------------------------------------------------------------------------------

