D:\GCMSÊý¾Ý\2026\04\0427\PAE C4.d 27 Apr 26   3:31 pm
Start of data points
3.59757,24099
3.60292,23516
3.60827,23440
3.61362,23811
3.61897,24060
3.6243,23916
3.62965,23559
3.635,23333
3.64035,23362
3.6457,23309
3.65105,23127
3.6564,23148
3.66175,23426
3.6671,23559
3.67245,23575
3.6778,23559
3.68315,23481
3.6885,23503
3.69383,23610
3.69918,23872
3.70453,23870
3.70988,23502
3.71523,23389
3.72058,23508
3.72593,24047
3.73128,24626
3.73663,24753
3.74198,24748
3.74733,25123
3.75268,25252
3.75802,25096
3.76337,25229
3.76872,25842
3.77407,25956
3.77942,26653
3.78477,26560
3.79012,27498
3.79547,28673
3.80082,30210
3.80617,33951
3.81152,39712
3.81687,42794
3.8222,39806
3.82755,33556
3.8329,28755
3.83825,26833
3.8436,26479
3.84895,26938
3.8543,26945
3.85965,26432
3.865,25975
3.87035,25495
3.8757,25912
3.88105,26972
3.88638,27785
3.89173,27274
3.89708,26283
3.90243,25866
3.90778,25977
3.91313,25982
3.91848,26063
3.92383,26493
3.92918,26789
3.93453,26548
3.93988,25967
3.94523,26052
3.95058,26722
3.95592,27104
3.96127,27363
3.96662,27488
3.97197,27691
3.97732,28029
3.98267,27949
3.98802,27902
3.99337,27682
3.99872,27462
4.00407,27527
4.00942,27908
4.01477,28083
4.0201,30048
4.02545,33585
4.0308,37374
4.03615,38175
4.0415,35160
4.04685,31357
4.0522,30320
4.05755,32868
4.0629,36705
4.06825,38175
4.0736,36038
4.07895,32251
4.08428,30271
4.08963,29436
4.09498,28655
4.10033,28229
4.10568,28703
4.11103,29309
4.11638,30123
4.12173,30816
4.12708,31046
4.13243,30591
4.13778,29843
4.14313,29458
4.14847,29572
4.15382,29882
4.15917,30236
4.16452,30345
4.16987,30483
4.17522,30007
4.18057,29573
4.18592,29496
4.19127,29615
4.19662,30129
4.20197,30148
4.20732,30183
4.21267,30107
4.218,29858
4.22335,29347
4.2287,28941
4.23405,29148
4.2394,29627
4.24475,30607
4.2501,31345
4.25545,31625
4.2608,31403
4.26615,31487
4.2715,31378
4.27685,31399
4.28218,31874
4.28753,32376
4.29288,33346
4.29823,33619
4.30358,33479
4.30893,33340
4.31428,33237
4.31963,33367
4.32498,33610
4.33033,33648
4.33568,33256
4.34103,32622
4.34637,31864
4.35172,31562
4.35707,32127
4.36242,32864
4.36777,33143
4.37312,35305
4.37847,55137
4.38382,119723
4.38917,216490
4.39452,286553
4.39987,296839
4.40522,267633
4.41055,229365
4.4159,197414
4.42125,174313
4.4266,157667
4.43195,144290
4.4373,133130
4.44265,123358
4.448,112913
4.45335,103350
4.4587,95880
4.46405,90539
4.4694,86826
4.47473,82367
4.48008,78749
4.48543,76456
4.49078,74473
4.49613,71638
4.50148,68275
4.50683,65220
4.51218,62516
4.51753,59960
4.52288,57876
4.52823,56681
4.53358,55716
4.53893,54866
4.54427,53456
4.54962,51729
4.55497,50455
4.56032,50135
4.56567,50119
4.57102,49289
4.57637,48914
4.58172,49407
4.58707,50506
4.59242,50528
4.59777,48387
4.60312,45816
4.60845,44201
4.6138,43940
4.61915,44223
4.6245,43813
4.62985,42732
4.6352,41299
4.64055,40638
4.6459,41159
4.65125,41639
4.6566,42137
4.66195,42665
4.6673,43000
4.67263,42409
4.67798,41671
4.68333,41652
4.68868,41489
4.69403,40779
4.69938,39839
4.70473,39572
4.71008,39154
4.71543,38901
4.72078,38749
4.72613,39252
4.73148,39942
4.73682,40016
4.74217,39963
4.74752,39883
4.75287,40119
4.75822,39658
4.76357,39479
4.76892,39961
4.77427,40088
4.77962,39398
4.78497,38791
4.79032,52028
4.79567,130436
4.80102,300138
4.80635,460113
4.8117,484863
4.81705,396170
4.8224,296167
4.82775,226569
4.8331,181314
4.83845,151369
4.8438,130482
4.84915,114738
4.8545,102387
4.85985,92109
4.8652,83167
4.87053,76060
4.87588,71267
4.88123,67316
4.88658,63758
4.89193,60382
4.89728,57713
4.90263,55685
4.90798,54500
4.91333,54875
4.91868,56882
4.92403,58304
4.92938,55498
4.93472,50894
4.94007,47430
4.94542,46132
4.95077,45777
4.95612,46067
4.96147,45743
4.96682,44451
4.97217,43184
4.97752,42421
4.98287,42186
4.98822,42208
4.99357,42795
4.9989,43637
5.00425,43738
5.0096,43286
5.01495,42741
5.0203,42683
5.02565,42904
5.031,43556
5.03635,44130
5.0417,44258
5.04705,43873
5.0524,43687
5.05775,43601
5.0631,43455
5.06843,43286
5.07378,43090
5.07913,42822
5.08448,42860
5.08983,44154
5.09518,45356
5.10053,45287
5.10588,44003
5.11123,43075
5.11658,43148
5.12193,42908
5.12728,42568
5.13262,43041
5.13797,44228
5.14332,45659
5.14867,46507
5.15402,46552
5.15937,46186
5.16472,45826
5.17007,45699
5.17542,45630
5.18077,45377
5.18612,45218
5.19147,44380
5.1968,44333
5.20215,44485
5.2075,44950
5.21285,45486
5.2182,45349
5.22355,45119
5.2289,45282
5.23425,45407
5.2396,45348
5.24495,45582
5.2503,46007
5.25565,46813
5.26098,47865
5.26633,49098
5.27168,49947
