D:\MassHunter\GCMS\1\data\2026\05\0512\MOCA C1.D Wed May 13 01:23:44 2026
Start of data points
3.09427	150829
3.09787	148461
3.10145	146704
3.10503	147633
3.10863	146700
3.11222	144651
3.11580	142031
3.11940	140611
3.12298	140335
3.12657	140269
3.13017	139436
3.13375	137571
3.13733	137620
3.14093	138660
3.14452	141536
3.14810	145600
3.15170	149005
3.15528	150100
3.15887	150516
3.16247	150338
3.16605	148634
3.16963	146329
3.17323	144693
3.17682	142211
3.18040	141461
3.18398	141324
3.18758	141960
3.19117	144654
3.19475	146452
3.19835	149541
3.20193	155901
3.20552	167006
3.20912	183604
3.21270	204146
3.21628	226404
3.21988	254291
3.22347	286765
3.22705	321845
3.23065	340336
3.23423	338847
3.23782	316662
3.24142	284249
3.24500	250189
3.24858	224144
3.25218	203397
3.25577	186693
3.25935	173268
3.26295	163400
3.26653	156505
3.27012	149432
3.27372	142484
3.27730	136166
3.28088	131444
3.28447	127704
3.28807	124915
3.29165	122798
3.29523	120784
3.29883	118032
3.30242	114976
3.30600	114891
3.30960	114767
3.31318	113620
3.31677	111992
3.32037	110259
3.32395	108899
3.32753	108966
3.33113	108192
3.33472	106665
3.33830	104545
3.34190	103813
3.34548	103468
3.34907	103730
3.35267	102541
3.35625	101037
3.35983	100884
3.36343	101027
3.36702	101943
3.37060	101833
3.37420	101399
3.37778	101181
3.38137	100516
3.38495	100775
3.38855	101248
3.39213	102426
3.39572	102435
3.39932	102887
3.40290	103701
3.40648	104222
3.41008	103895
3.41367	101716
3.41725	99136
3.42085	96761
3.42443	93814
3.42802	91413
3.43162	90317
3.43520	90175
3.43878	91121
3.44238	91543
3.44597	92322
3.44955	92406
3.45315	92430
3.45673	93020
3.46032	92442
3.46392	92048
3.46750	92805
3.47108	92802
3.47468	92325
3.47827	92718
3.48185	93327
3.48543	93871
3.48903	94657
3.49262	94429
3.49620	93264
3.49980	92163
3.50338	92521
3.50697	93847
3.51057	95851
3.51415	98644
3.51773	102225
3.52133	104796
3.52492	106660
3.52850	106386
3.53210	104292
3.53568	102375
3.53927	99382
3.54287	96201
3.54645	94610
3.55003	95009
3.55363	98164
3.55722	103935
3.56080	110145
3.56440	115118
3.56798	118875
3.57157	119141
3.57517	116022
3.57875	112031
3.58233	106379
3.58592	101697
3.58952	98589
3.59310	97522
3.59668	97705
3.60028	98537
3.60387	98757
3.60745	98237
3.61105	96405
3.61463	94979
3.61822	92988
3.62182	90556
3.62540	88453
3.62898	87113
3.63258	86618
3.63617	86446
3.63975	86894
3.64335	88450
3.64693	90190
3.65052	89820
3.65412	89784
3.65770	88737
3.66128	89577
3.66488	90913
3.66847	92436
3.67205	94176
3.67565	96848
3.67923	99649
3.68282	102061
3.68640	102742
3.69000	101525
3.69358	98260
3.69717	95906
3.70077	95888
3.70435	96822
3.70793	97764
3.71153	98220
3.71512	97253
3.71870	95559
3.72230	94973
3.72588	95879
3.72947	99570
3.73307	103789
3.73665	107612
3.74023	110929
3.74383	110750
3.74742	106425
3.75100	101285
3.75460	97129
3.75818	94263
3.76177	92424
3.76537	91659
3.76895	92428
3.77253	95602
3.77613	100601
3.77972	106945
3.78330	111691
3.78688	113430
3.79048	111901
3.79407	109119
3.79765	105771
3.80125	99968
3.80483	95122
3.80842	91922
3.81202	90583
3.81560	91661
3.81918	92803
3.82278	95024
3.82637	97411
3.82995	99024
3.83355	99978
3.83713	100665
3.84072	99506
3.84432	98313
3.84790	97224
3.85148	97830
3.85508	97563
3.85867	96388
3.86225	94985
3.86585	94077
3.86943	95088
3.87302	97320
3.87660	97923
3.88020	98172
3.88378	98712
3.88737	97445
3.89097	96714
3.89455	95244
3.89813	94874
3.90173	95268
3.90532	96277
3.90890	97284
3.91250	97915
3.91608	97341
3.91967	95753
3.92327	93806
3.92685	92818
3.93043	91158
3.93403	89670
3.93762	90166
3.94120	91630
3.94480	92599
3.94838	93008
3.95197	92328
3.95557	93329
3.95915	94871
3.96273	95961
3.96633	97179
3.96992	97130
3.97350	95892
3.97708	93959
3.98068	91180
3.98427	88734
3.98785	87404
3.99145	87021
3.99503	87078
3.99862	86108
4.00222	85246
4.00580	85077
4.00938	85474
4.01298	87083
4.01657	88408
4.02015	91830
4.02375	97841
4.02733	105995
4.03092	116805
4.03452	128682
4.03810	140236
4.04168	148204
4.04528	152228
4.04887	152217
4.05245	147337
4.05605	138201
4.05963	126420
4.06322	115002
4.06682	107182
4.07040	104693
4.07398	104657
4.07757	106077
4.08117	104874
4.08475	102037
4.08833	99262
4.09193	98236
4.09552	98377
4.09910	99154
4.10270	100656
4.10628	101418
4.10987	102449
4.11347	104407
4.11705	106819
4.12063	109569
4.12423	112765
4.12782	115293
4.13140	115145
4.13500	112688
4.13858	109369
4.14217	107357
4.14577	105959
4.14935	105761
4.15293	106563
4.15653	108670
4.16012	112123
4.16370	116289
4.16730	119613
4.17088	120907
4.17447	123396
4.17805	127296
4.18165	133223
4.18523	135188
4.18882	131727
4.19242	122621
4.19600	112155
4.19958	103727
4.20318	100293
4.20677	100544
4.21035	103132
4.21395	106393
4.21753	108825
4.22112	108893
4.22472	107150
4.22830	104422
4.23188	102168
4.23548	100181
4.23907	99814
4.24265	99341
4.24625	100046
4.24983	102264
4.25342	104423
4.25702	106498
4.26060	106296
4.26418	105866
4.26778	105952
4.27137	107854
4.27495	110020
4.27853	111188
4.28213	110314
4.28572	107541
4.28930	105062
4.29290	103488
4.29648	103138
4.30007	103098
4.30367	102719
4.30725	102194
4.31083	101958
4.31443	101754
4.31802	103229
4.32160	107058
4.32520	111738
4.32878	116272
4.33237	118843
4.33597	119382
4.33955	117772
4.34313	116831
4.34673	115348
4.35032	114115
4.35390	112835
4.35750	110354
4.36108	107931
4.36467	106406
4.36827	106202
4.37185	108682
4.37543	110650
4.37902	111787
4.38262	112658
4.38620	113416
4.38978	113475
4.39338	112644
4.39697	111090
4.40055	109346
4.40415	108967
4.40773	108542
4.41132	106350
4.41492	104342
4.41850	103782
4.42208	104789
4.42568	105138
4.42927	106807
4.43285	106258
4.43645	104963
4.44003	104662
4.44362	106232
4.44722	105789
4.45080	105378
4.45438	104019
4.45798	102472
4.46157	100659
4.46515	99985
4.46875	101448
4.47233	105134
4.47592	109507
4.47950	116500
4.48310	121770
4.48668	123283
4.49027	120001
4.49387	113253
4.49745	105629
4.50103	99946
4.50463	97838
4.50822	97211
4.51180	97035
4.51540	96913
4.51898	96664
4.52257	98072
4.52617	100389
4.52975	102752
4.53333	105419
4.53693	110648
4.54052	123292
4.54410	142789
4.54770	164081
4.55128	181219
4.55487	194278
4.55847	208654
4.56205	223812
4.56563	236683
4.56922	241545
4.57282	235140
4.57640	219816
4.57998	200944
4.58358	183909
4.58717	170408
4.59075	160215
4.59435	153083
4.59793	148288
4.60152	144724
4.60512	141035
4.60870	139553
4.61228	138919
4.61588	138665
4.61947	138121
4.62305	137002
4.62665	133813
4.63023	133144
4.63382	162239
4.63742	316251
4.64100	826655
4.64458	1998015
4.64818	3927997
4.65177	6186980
4.65535	7920448
4.65895	8374898
4.66253	7432239
4.66612	5696700
4.66970	3881122
4.67330	2470674
4.67688	1567608
4.68047	1027936
4.68407	718146
4.68765	541442
4.69123	441631
4.69483	397314
4.69842	402085
4.70200	448467
4.70560	519990
4.70918	587268
4.71277	613703
4.71637	581602
4.71995	504124
4.72353	409564
4.72713	323907
4.73072	257892
4.73430	210919
4.73790	182218
4.74148	163618
4.74507	151155
4.74867	144141
4.75225	140709
4.75583	139194
4.75943	140114
4.76302	140674
4.76660	146090
4.77018	158117
4.77378	171948
4.77737	181626
4.78095	178587
4.78455	164736
4.78813	146279
4.79172	133033
4.79532	125946
4.79890	123052
4.80248	121811
4.80608	121502
4.80967	119607
4.81325	117800
4.81685	117540
4.82043	116298
4.82402	118787
4.82762	122290
4.83120	125068
4.83478	126793
4.83838	126136
4.84197	124111
4.84555	122507
4.84915	127458
4.85273	145733
4.85632	194558
4.85992	288499
4.86350	424933
4.86708	586536
4.87067	711499
4.87427	764309
4.87785	737195
4.88143	654880
4.88503	553942
4.88862	461014
4.89220	388178
4.89580	326913
4.89938	279357
4.90297	244098
4.90657	218550
4.91015	200249
4.91373	186224
4.91733	172712
4.92092	160886
4.92450	152633
4.92810	147257
4.93168	144303
4.93527	140596
4.93887	138093
4.94245	135311
4.94603	132688
4.94963	131803
4.95322	131494
4.95680	131955
4.96040	134922
4.96398	139617
4.96757	142902
4.97115	143545
4.97475	140401
4.97833	138099
4.98192	140112
4.98552	148744
4.98910	164054
4.99268	178514
4.99628	183629
4.99987	176055
5.00345	161665
5.00705	147335
5.01063	137553
5.01422	132836
5.01782	130294
5.02140	128022
5.02498	125323
5.02858	121888
5.03217	120737
5.03575	120250
5.03935	120446
5.04293	122412
5.04652	126036
5.05012	128006
5.05370	128536
5.05728	128081
5.06088	128670
5.06447	130967
5.06805	133829
5.07163	137293
5.07523	141130
5.07882	143909
5.08240	145251
5.08600	148695
5.08958	154866
5.09317	158945
5.09677	157656
5.10035	151938
5.10393	144852
5.10753	138147
5.11112	137342
5.11470	140311
5.11830	143867
5.12188	142307
5.12547	138362
5.12907	133187
5.13265	130280
5.13623	130258
5.13983	131904
5.14342	133935
5.14700	136450
5.15060	139610
5.15418	141057
5.15777	141522
5.16137	138567
5.16495	135806
5.16853	135987
5.17212	137253
5.17572	138880
5.17930	139955
5.18288	139898
5.18648	138422
5.19007	136515
5.19365	134832
5.19725	134905
5.20083	135191
5.20442	135992
5.20802	137388
5.21160	140569
5.21518	146926
5.21878	156703
5.22237	166919
5.22595	173277
5.22955	174873
5.23313	173033
5.23672	168504
5.24032	163085
5.24390	157629
5.24748	151703
5.25108	146867
5.25467	144728
5.25825	142996
5.26185	140619
5.26543	139563
5.26902	139127
5.27260	138925
5.27620	138093
5.27978	137157
5.28337	135826
5.28697	136751
5.29055	139035
5.29413	141466
5.29773	143778
5.30132	144466
5.30490	145017
5.30850	146545
5.31208	148941
5.31567	150783
5.31927	149147
5.32285	148174
5.32643	145194
5.33003	141124
5.33362	139077
5.33720	139327
5.34080	138456
5.34438	138354
5.34797	137401
5.35157	136271
5.35515	134889
5.35873	135443
5.36233	136960
5.36592	140428
5.36950	142976
5.37308	145503
5.37668	150195
5.38027	157380
5.38385	162262
5.38745	162560
5.39103	158663
5.39462	152956
5.39822	148009
5.40180	145446
5.40538	143881
5.40898	142623
5.41257	144576
5.41615	146534
5.41975	147385
5.42333	150095
5.42692	153848
5.43052	159198
5.43410	165493
5.43768	175235
5.44128	192710
5.44487	214831
5.44845	234664
5.45205	244697
5.45563	242477
5.45922	236303
5.46282	231960
5.46640	230181
5.46998	223397
5.47357	211201
5.47717	197625
5.48075	188691
5.48433	183944
5.48793	182323
5.49152	182351
5.49510	184867
5.49870	188513
5.50228	192168
5.50587	196161
5.50947	209489
5.51305	242267
5.51663	298882
5.52023	364988
5.52382	410573
5.52740	409214
5.53100	363761
5.53458	298431
5.53817	240968
5.54177	204319
5.54535	184480
5.54893	174788
5.55253	170651
5.55612	168608
5.55970	169507
5.56330	171474
5.56688	173696
5.57047	177730
5.57405	180841
5.57765	184224
5.58123	187660
5.58482	192111
5.58842	199230
5.59200	204981
5.59558	208243
5.59918	205386
5.60277	197017
5.60635	188106
5.60995	182604
5.61353	180175
5.61712	179985
5.62072	182613
5.62430	186675
5.62788	192608
5.63148	198880
5.63507	204355
5.63865	205556
5.64225	204045
5.64583	200040
5.64942	194564
5.65302	188941
5.65660	186226
5.66018	183915
5.66377	184455
5.66737	184244
5.67095	182075
5.67453	178718
5.67813	177926
5.68172	179939
5.68530	183163
5.68890	185177
5.69248	184603
5.69607	180844
5.69967	175633
5.70325	173850
5.70683	173726
5.71043	173991
5.71402	174233
5.71760	173697
5.72120	173646
5.72478	174274
5.72837	175884
5.73197	178207
5.73555	178858
5.73913	179718
5.74273	179353
5.74632	178026
5.74990	175273
5.75350	172600
5.75708	171386
5.76067	172666
5.76425	171978
5.76785	171812
5.77143	170264
5.77502	171425
5.77862	171671
5.78220	172937
5.78578	174502
5.78938	175558
5.79297	175153
5.79655	174247
5.80015	172823
5.80373	173021
5.80732	174549
5.81092	174746
5.81450	176495
5.81808	179631
5.82168	183385
5.82527	186499
5.82885	189327
5.83245	192879
5.83603	194965
5.83962	194815
5.84322	193823
5.84680	194075
5.85038	197162
5.85398	202873
5.85757	212285
5.86115	222641
5.86473	231380
5.86833	233255
5.87192	226194
5.87550	214033
5.87910	201713
5.88268	193551
5.88627	187516
5.88987	187556
5.89345	191388
5.89703	194215
5.90063	194738
5.90422	193442
5.90780	195430
5.91140	199518
5.91498	205713
5.91857	211737
5.92217	217600
5.92575	222559
5.92933	228433
5.93293	232006
5.93652	231871
5.94010	228319
5.94370	221124
5.94728	215304
5.95087	215355
5.95447	217583
5.95805	219322
5.96163	218545
5.96522	215831
5.96882	213454
5.97240	212766
5.97598	212650
5.97958	212082
5.98317	214628
5.98675	218312
5.99035	222965
5.99393	228917
5.99752	240546
6.00112	268822
6.00470	325123
6.00828	409052
6.01188	501239
6.01547	571451
6.01905	597096
6.02265	584777
6.02623	551828
6.02982	511624
6.03342	473503
6.03700	440359
6.04058	411697
6.04418	389012
6.04777	370629
6.05135	353104
6.05495	343280
6.05853	346714
6.06212	358919
6.06570	368211
6.06930	362047
6.07288	342638
6.07647	315740
6.08007	292465
6.08365	277563
6.08723	272170
6.09083	269449
6.09442	267350
6.09800	266256
6.10160	266354
6.10518	266278
6.10877	266007
6.11237	265244
6.11595	264361
6.11953	264041
6.12313	264858
6.12672	266258
6.13030	269046
6.13390	271576
6.13748	272747
6.14107	271254
6.14467	266851
6.14825	259896
6.15183	255053
6.15543	251646
6.15902	249914
6.16260	248318
6.16618	249040
6.16978	250650
6.17337	250843
6.17695	249811
6.18055	250589
6.18413	251785
6.18772	253250
6.19132	254884
6.19490	259743
6.19848	268279
6.20208	279676
6.20567	290288
6.20925	297526
6.21285	298843
6.21643	295505
6.22002	288912
6.22362	281382
6.22720	275098
6.23078	274510
6.23438	277547
6.23797	283542
6.24155	288724
6.24515	289579
6.24873	285893
6.25232	280983
6.25592	277629
6.25950	276807
6.26308	276126
6.26667	274318
6.27027	275151
6.27385	275747
6.27743	275717
6.28103	276557
6.28462	281611
6.28820	288933
6.29180	294706
6.29538	300924
6.29897	313708
6.30257	344534
6.30615	408108
6.30973	515240
6.31333	663114
6.31692	827883
6.32050	969462
6.32410	1054494
6.32768	1056156
6.33127	964881
6.33487	810983
6.33845	646885
6.34203	520127
6.34563	442207
6.34922	398137
6.35280	371447
6.35638	355369
6.35998	344351
6.36357	336922
6.36715	332331
6.37075	328694
6.37433	327250
6.37792	329173
6.38152	333066
6.38510	336202
6.38868	338853
6.39228	340738
6.39587	343982
6.39945	346677
6.40305	347570
6.40663	344406
6.41022	336416
6.41382	329331
6.41740	325258
6.42098	324367
6.42458	325395
6.42817	330075
6.43175	336670
6.43535	343379
6.43893	345944
6.44252	344027
6.44612	341116
6.44970	338063
6.45328	336395
6.45687	332518
6.46047	330423
6.46405	332170
6.46763	337999
6.47123	343902
6.47482	349795
6.47840	350522
6.48200	344765
6.48558	336242
6.48917	328310
6.49277	324145
6.49635	322970
6.49993	321627
6.50353	320907
6.50712	321893
6.51070	324257
6.51430	326933
6.51788	328884
6.52147	331168
6.52507	332010
6.52865	333080
6.53223	333694
6.53583	334054
6.53942	335553
6.54300	336653
6.54660	337768
6.55018	339163
6.55377	341128
6.55735	343754
6.56095	343175
6.56453	343098
6.56812	343535
6.57172	346699
6.57530	347921
6.57888	348350
6.58248	349615
6.58607	351364
6.58965	351849
6.59325	350315
6.59683	350008
6.60042	353923
6.60402	356062
6.60760	357963
6.61118	364985
6.61478	379422
6.61837	403306
6.62195	433059
6.62555	454790
6.62913	458516
6.63272	444679
6.63632	423289
6.63990	401621
6.64348	386251
6.64708	379993
6.65067	380931
6.65425	383715
6.65783	388846
6.66143	397143
6.66502	406507
6.66860	410252
6.67220	408334
6.67578	400606
6.67937	394086
6.68297	392267
6.68655	393983
6.69013	396929
6.69373	403510
6.69732	409926
6.70090	414771
6.70450	416416
6.70808	416007
6.71167	417970
6.71527	426679
6.71885	442703
6.72243	466076
6.72603	490053
6.72962	504577
6.73320	502990
6.73680	487333
6.74038	469068
6.74397	456480
6.74757	449659
6.75115	445428
6.75473	440206
6.75832	433344
6.76192	428404
6.76550	429574
6.76908	430469
6.77268	427923
6.77627	423090
6.77985	421684
6.78345	423205
6.78703	424406
6.79062	426724
6.79422	429548
6.79780	431942
6.80138	432901
6.80498	433648
6.80857	434249
6.81215	433320
6.81575	430968
6.81933	427261
6.82292	425936
6.82652	425866
6.83010	427335
6.83368	432084
6.83728	436765
6.84087	438611
6.84445	440094
6.84805	443015
6.85163	445889
6.85522	446799
6.85880	448115
6.86240	447603
6.86598	446368
6.86957	443733
6.87317	442577
6.87675	444697
6.88033	448932
6.88393	452681
6.88752	457508
6.89110	459989
6.89470	457802
6.89828	453387
6.90187	450193
6.90547	451313
6.90905	452354
6.91263	454137
6.91623	454367
6.91982	455111
6.92340	458132
6.92700	460875
6.93058	463573
6.93417	465770
6.93777	465494
6.94135	462784
6.94493	463146
6.94853	462774
6.95212	464208
6.95570	467636
6.95928	470258
6.96288	476141
6.96647	482344
6.97005	490647
6.97365	496184
6.97723	499823
6.98082	504183
6.98442	510820
6.98800	523918
6.99158	546962
6.99518	585515
6.99877	650882
7.00235	761079
7.00595	929517
7.00953	1137404
7.01312	1325264
7.01672	1416001
7.02030	1381139
7.02388	1255938
7.02748	1112770
7.03107	1002546
7.03465	929081
7.03825	879177
7.04183	831877
7.04542	786489
7.04902	745778
7.05260	714241
7.05618	691545
7.05977	676608
7.06337	666822
7.06695	661089
7.07053	662324
7.07413	678278
7.07772	723913
7.08130	811756
7.08490	937745
7.08848	1064951
7.09207	1144097
7.09567	1143807
7.09925	1073842
7.10283	975599
7.10643	883354
7.11002	810674
7.11360	757439
7.11720	719654
7.12078	692067
7.12437	673837
7.12797	668046
7.13155	681312
7.13513	713857
7.13873	752671
7.14232	775303
7.14590	768936
7.14948	734185
7.15308	689360
7.15667	651861
7.16025	629069
7.16385	619976
7.16743	617443
7.17102	615564
7.17462	611960
7.17820	610512
7.18178	614504
7.18538	617710
7.18897	622068
7.19255	623340
7.19615	625726
7.19973	630157
7.20332	632624
7.20692	636227
7.21050	634554
7.21408	634898
7.21768	633223
7.22127	631593
7.22485	630226
7.22845	632662
7.23203	640684
7.23562	651746
7.23922	661303
7.24280	667259
7.24638	672098
7.24997	678499
7.25357	685185
7.25715	697022
7.26073	708464
7.26433	723722
7.26792	739654
7.27150	757836
7.27510	774502
7.27868	797350
7.28227	818581
7.28587	845901
7.28945	872419
7.29303	900249
7.29663	931326
7.30022	967321
7.30380	1004385
7.30740	1040876
7.31098	1075782
7.31457	1105787
7.31817	1131177
7.32175	1146605
7.32533	1155844
7.32893	1162796
7.33252	1165687
7.33610	1161081
7.33970	1149670
7.34328	1133369
7.34687	1111658
7.35045	1087029
7.35405	1058389
7.35763	1027757
7.36122	996270
7.36482	964737
7.36840	933440
7.37198	901882
7.37558	868827
7.37917	841623
7.38275	816264
7.38635	798409
7.38993	780815
7.39352	767142
7.39712	758670
7.40070	759680
7.40428	761103
7.40788	760611
7.41147	758525
7.41505	756528
7.41865	753122
7.42223	748835
7.42582	746701
7.42942	746181
7.43300	742732
7.43658	740180
7.44018	738069
7.44377	742836
7.44735	769431
7.45093	884774
7.45453	1259795
7.45812	2224943
7.46170	4118106
7.46530	6973378
7.46888	1.003819E+07
7.47247	1.212819E+07
7.47607	1.228546E+07
7.47965	1.053218E+07
7.48323	7794838
7.48683	5192937
7.49042	3316997
7.49400	2291755
7.49760	1782191
7.50118	1508855
7.50477	1327178
7.50837	1191027
7.51195	1090904
7.51553	1021263
7.51913	972955
7.52272	938789
7.52630	916585
7.52990	901453
7.53348	898943
7.53707	909083
7.54067	933066
7.54425	961819
7.54783	980683
7.55142	980948
7.55502	960410
7.55860	929548
7.56218	898665
7.56578	871031
7.56937	856657
7.57295	849531
7.57655	849182
7.58013	854931
7.58372	870085
7.58732	897440
7.59090	941090
7.59448	1001567
7.59808	1064975
7.60167	1110588
7.60525	1121897
7.60885	1104810
7.61243	1065619
7.61602	1020979
7.61962	979588
7.62320	950575
7.62678	930972
7.63038	921270
7.63397	911661
7.63755	908379
7.64115	914673
7.64473	928398
7.64832	951390
7.65190	968490
7.65550	971468
7.65908	955356
7.66267	929810
7.66627	904462
7.66985	891296
7.67343	900965
7.67703	928544
7.68062	976893
7.68420	1044149
7.68780	1108662
7.69138	1147140
7.69497	1139746
7.69857	1093188
7.70215	1033919
7.70573	1009610
7.70933	1058332
7.71292	1249433
7.71650	1666718
7.72010	2344261
7.72368	3156234
7.72727	3821694
7.73087	4053118
7.73445	3750540
7.73803	3085101
7.74163	2346324
7.74522	1758264
7.74880	1393859
7.75238	1208132
7.75598	1133204
7.75957	1130048
7.76315	1220932
7.76675	1495999
7.77033	2064939
7.77392	2971441
7.77752	4059195
7.78110	5005132
7.78468	5498598
7.78828	5409677
7.79187	4894093
7.79545	4252168
7.79905	3756912
7.80263	3496499
7.80622	3383673
7.80982	3276900
7.81340	3091198
7.81698	2816899
7.82058	2499038
7.82417	2197946
7.82775	1954577
7.83135	1772396
7.83493	1636211
7.83852	1537123
7.84210	1472267
7.84570	1445804
7.84928	1461813
7.85287	1530491
7.85647	1651075
7.86005	1786117
7.86363	1891885
7.86723	1924188
7.87082	1875828
7.87440	1772767
7.87800	1653958
7.88158	1546353
7.88517	1460851
7.88877	1396379
7.89235	1348612
7.89593	1314796
7.89953	1284809
7.90312	1260138
7.90670	1234504
7.91030	1208732
7.91388	1187673
7.91747	1173083
7.92107	1160993
7.92465	1147572
7.92823	1138281
7.93183	1133689
7.93542	1129827
7.93900	1124034
7.94258	1117067
7.94618	1112385
7.94977	1106670
7.95335	1106049
7.95695	1104050
7.96053	1098414
7.96412	1092716
7.96772	1090735
7.97130	1091638
7.97488	1088339
7.97848	1084170
7.98207	1080792
7.98565	1079233
7.98925	1077518
7.99283	1078190
7.99642	1079041
8.00002	1079239
8.00360	1078932
8.00718	1078667
8.01078	1080213
8.01437	1079040
8.01795	1076018
8.02155	1075256
8.02513	1075732
8.02872	1077439
8.03232	1078149
8.03590	1080950
8.03948	1082204
8.04307	1080972
8.04667	1077768
8.05025	1078339
8.05383	1079842
8.05743	1079361
8.06102	1079286
8.06460	1082767
8.06820	1085825
8.07178	1087439
8.07537	1085047
8.07897	1084069
8.08255	1085310
8.08613	1087487
8.08973	1087275
8.09332	1087191
8.09690	1088078
8.10050	1089347
8.10408	1087949
8.10767	1089792
8.11127	1092732
8.11485	1094050
8.11843	1096802
8.12203	1097711
8.12562	1100542
8.12920	1103919
8.13280	1107427
8.13638	1109116
8.13997	1110747
8.14355	1116387
8.14715	1121305
